section,modes
InstanceSeg,super_fast
InstanceSeg,fast
InstanceSeg,accurate
InstanceSeg,rotated_accurate
SupervisedSeg,fast
SupervisedSeg,accurate
SupervisedSeg,super_high_resolution
ObjectDet,super_fast
ObjectDet,fast
ObjectDet,accurate
ObjectDet,nano
ObjectDet,small
ObjectDet,large
ObjectDet,balanced
OCR,accurate
Keypoints,super_fast
Keypoints,fast
Keypoints,accurate
Keypoints,rotated_accurate
Classification,fast
Classification,accurate
Classification,nano
Classification,small
Classification,large
Classification,balanced
